"main.id","hpq_crop.id","crop_line","croptype","croptype_o","crop_vol"
"55960","0","6","1","","3"
"55960","1","7","1","","3"
"55960","2","8","1","","3"
"103291","0","5","1","","100"
"129059","0","13","1","","1000"
"129557","0","3","1","","180"
"137426","0","8","","","0"
"203991","0","5","1","","200"
"204922","0","6","1","","200"
"376923","0","10","1","","560"
"465787","0","4","1","","50"
"616324","0","4","1","","5"
"838396","0","6","2","","12000"
"838396","1","7","4","sibuyas","1200"
"889624","0","7","1","","60"
"890678","0","10","4","0","170"
"1030912","0","7","1","","0"
"1510018","0","7","","","0"
"3910958","0","7","","","0"
